,RUNDATE,FY,FM,DOCID,CHKSUBTOT,VCODE,VENDOR,ZIP5,FTYP,FUNDTYPE,DPT,DEPARTMENT,ACTV,ACTIVITY,OGRP,OBJECTGROUP,OBJ,OBJECT,COMM,COMMODITYDSCR,INVOICEDATE,INVOICENUMBER
38437,2024-01-18,2024,4,EFT-BMS-EY240030912,436543.19,VS0000078666,"Gadberry Construction Company, Inc.",75207,SWRC,Sewer Capital Program,DWU,Water Utilities,RELP,Relocations In Advance Of Paving,RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
39001,2024-01-19,2024,4,EFT-BMS-EY240031281,444925.73,VS97685,"All City Management Services, Inc.",90084,GNFD,General Fund,MSH,City Marshal's Office,3065,Security Services,QV,Contractual & Other Services,3070,Professional Services,92471.0,SCHOOL OPERATION AND MANAGEMENT SERVICES,,
39052,2024-01-22,2024,4,EFT-BMS-EY240031291,1657361.56,125824,Bar Constructors Inc ^,75146,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
39063,2024-01-22,2024,4,EFT-BMS-EY240031300,1602129.77,VC26041,"Tegrity Contractors, Inc.",75013,WTRC,Water Capital Program,DWU,Water Utilities,WCFA,Wholesale Customer Facilities (Funded By Customer Cities),RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
39068,2024-01-22,2024,4,EFT-BMS-EY240031304,1690677.15,VS0000064407,"Archer Western Construction, Llc",75038,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4730,Inst Apparatus Major,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
39112,2024-01-22,2024,4,EFT-BMS-EY240031348,1078571.26,VS100981,"Crescent Constructors, Inc.",75074,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4330,Sewage Disposal Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
39161,2024-01-22,2024,4,EFT-BMS-EY240031386,341332.0,269229,Big Thought,75215,GNFD,General Fund,OCA,Office Of Cultural Affairs,CA01,Cultural Programs Funding,QV,Contractual & Other Services,3089,Artistic Services,96207.0,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.)",,
39197,2024-01-22,2024,4,EFT-BMS-EY240031416,469866.0,519741,The Dallas Convention & Visitors Bureau,75201,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3320,Advertising,,NONE,,
39396,2024-01-23,2024,4,EFT-BMS-EY240031533,652160.56,347200,"Freese And Nichols, Inc.",75204,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4111,Engineering Design,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
39426,2024-01-23,2024,4,EFT-BMS-EY240031559,608363.47,VS90299,Southland Mole Jv,76262,BP12,2012 General Obligation Bond Program,TWM,Trinity Watershed Management,SDRS,Storm Drainage Relief System,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
39474,2024-01-23,2024,4,EFT-BMS-EY240031591,1056200.16,244727,"Downtown Dallas, Inc.",75202,OTEC,Other-Economic Development,ECO,Office Of Economic Development,PIDC,Public Improvement District Collections,QV,Contractual & Other Services,3034,Public Improvement District Mgmt Fee,,NONE,,
39528,2024-01-23,2024,4,EFT-BMS-EY240031630,3977548.0,VC0000002996,The Housing Authority Of The City Of Dallas,75356,CVID,COVID-19,MGT,Management Services,EH54,Comprehensive Homeless Outreach,QV,Contractual & Other Services,3070,Professional Services,95255.0,HOMELESSNESS PREVENTION SERVICES,,
39703,2024-01-23,2024,4,EFT-BMS-EY240031727,376652.21,355176,Uptown Dallas Inc,75204,OTEC,Other-Economic Development,ECO,Office Of Economic Development,PIDC,Public Improvement District Collections,QV,Contractual & Other Services,3034,Public Improvement District Mgmt Fee,,NONE,,
39743,2024-01-24,2024,4,AD-BMS-AY240008003,559154.0,900498,Dallas County Hospital District,75235,GNFD,General Fund,DFD,Dallas Fire Department,DF02,Emergency Medical Service,QV,Contractual & Other Services,3070,Professional Services,94874.0,PROFESSIONAL MEDICAL SERVICES (INCLUDING PHYSICIANS AND ALL,,
39770,2024-01-24,2024,4,EFT-BMS-EY240031750,4729905.64,502145,"Shi Government Solutions, Inc",78746,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS20,Internal Desktop Support,QV,Contractual & Other Services,3438,Software Maint Fee,20800.0,COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED),,
39775,2024-01-24,2024,4,EFT-BMS-EY240031754,496960.56,VC14110,Ragle Inc,76180,BP12,2012 General Obligation Bond Program,SDM,Stormwater Drainage Management,SDRS,Storm Drainage Relief System,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
39778,2024-01-24,2024,4,EFT-BMS-EY240031756,556650.33,VC19221,Fair Park First,75210,GNFD,General Fund,PKR,Park & Recreation,PK16,Dallas Zoo and Aquarium,QV,Contractual & Other Services,3072,Contractor Service Fees,,NONE,,
39851,2024-01-24,2024,4,EFT-BMS-EY240031815,392066.0,399372,The Around The Clock Freightliner Group Llc,75247,OTDB,Other GO CIP  - Debt,SAN,Sanitation Svcs,FLTR,San- Fleet Replacement,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
39860,2024-01-24,2024,4,EFT-BMS-EY240031825,792321.0,518741,Houston Freightliner Inc.,77029,GNFD,General Fund,CCS,Code Compliance,CC08,Neighborhood Nuisance Abatement,RC,Capital Outlay,4742,Trucks,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
39862,2024-01-24,2024,4,EFT-BMS-EY240031825,560530.0,518741,Houston Freightliner Inc.,77029,OTDB,Other GO CIP  - Debt,SAN,Sanitation Svcs,SS02,Residential Garbage Collection,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
39938,2024-01-24,2024,4,EFT-BMS-EY240031891,504958.0,VS0000006690,Delta Dental Insurance Company,94120,INSV,Internal Service Fund,PER,Human Resources,BE15,"Fiscal Management And Administration:  Voluntary Benefits, L",QV,Contractual & Other Services,355C,Voluntary Pmts Employee Dental,,NONE,,
40224,2024-01-25,2024,4,EFT-BMS-EY240032088,358841.67,516612,Deloitte Consulting Llp,22209,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3441,IT Managed Services,91800.0,CONSULTING SERVICES,,
40260,2024-01-25,2024,4,EFT-BMS-EY240032116,581860.08,VC24664,Lake Country Chevrolet Inc,77656,GNFD,General Fund,DPD,Dallas Police Dept,DP01,Police Field Patrols,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
40290,2024-01-25,2024,4,EFT-BMS-EY240032140,369937.0,VC30229,Collin Central Appraisal District,75069,GNFD,General Fund,BMS,Office of Budget,OF02,Dallas County Appraisal District (Contract),QV,Contractual & Other Services,3079,Appraisal Dist Support,91814.0,APPRAISALS CONSULTING,,
40424,2024-01-26,2024,4,EFT-BMS-EY240032196,840073.54,125824,Bar Constructors Inc ^,75146,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4330,Sewage Disposal Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
40428,2024-01-26,2024,4,EFT-BMS-EY240032199,1298422.19,243551,Rebcon Llc,76011,WTRC,Water Capital Program,DWU,Water Utilities,WTRS,Water Supply Reservoirs And Dams,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
40477,2024-01-26,2024,4,EFT-BMS-EY240032245,433160.86,VS0000017816,"Ark Contracting Services, Llc",76060,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
40590,2024-01-26,2024,4,EFT-BMS-EY240032324,1569867.24,VC22987,Dallas Tourism Public Improvement District Corporation,75201,OTEC,Other-Economic Development,ECO,Office Of Economic Development,PIDC,Public Improvement District Collections,QV,Contractual & Other Services,3034,Public Improvement District Mgmt Fee,,NONE,,
40641,2024-01-26,2024,4,EFT-BMS-EY240032359,316480.0,VS0000040826,"Shawnee Mission Tree Service, Inc",76051,EFOP,Enterprise Operating Fund,SAN,Sanitation Svcs,SS09,Residential Brush Collection,QV,Contractual & Other Services,3072,Contractor Service Fees,98888.0,TREE TRIMMING AND PRUNING SERVICES,,
40687,2024-01-26,2024,4,EFT-BMS-EY240032386,408648.65,VS89922,"Vescorp Construction, Llc",75180,OTDB,Other GO CIP  - Debt,PBW,Public Works & Transporation,INFU,Infrastructure Fund,RC,Capital Outlay,4530,Sidewlks Curbs Steps Gutr,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
40806,2024-01-29,2024,4,EFT-BMS-EY240032410,1277754.93,356959,Eagle Contracting Llc,76244,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
40810,2024-01-29,2024,4,EFT-BMS-EY240032414,551081.03,507202,"Syb Construction Co., Inc. ^",75061,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
40847,2024-01-29,2024,4,EFT-BMS-EY240032449,932833.56,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
40848,2024-01-29,2024,4,EFT-BMS-EY240032450,775345.0,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
40959,2024-01-29,2024,4,EFT-BMS-EY240032544,614012.1,244727,"Downtown Dallas, Inc.",75202,GNFD,General Fund,BMS,Office of Budget,OF01,Non-Departmental,QV,Contractual & Other Services,3599,Misc. Other Charges,,NONE,,
40997,2024-01-29,2024,4,EFT-BMS-EY240032565,318182.56,511236,Estrada Concrete Co. Llc,75141,BP17,2017 General Obligation Bond Program,PBW,Public Works & Transporation,THRF,Thoroughfares,RC,Capital Outlay,4510,Strts Roadwys Hiwy Alleys,,NONE,,
41073,2024-01-29,2024,4,EFT-BMS-EY240032622,722078.12,VS0000024410,Standard Insurance Company,97208,INSV,Internal Service Fund,PER,Human Resources,BE15,"Fiscal Management And Administration:  Voluntary Benefits, L",QV,Contractual & Other Services,3552,"Pymts To Voluntary Benefits, dental, Vision Service Plan",,NONE,,
41184,2024-01-30,2024,4,EFT-BMS-EY240032665,1354328.82,507202,"Syb Construction Co., Inc. ^",75061,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
41191,2024-01-30,2024,4,EFT-BMS-EY240032672,1789560.46,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
41394,2024-01-30,2024,4,EFT-BMS-EY240032828,504307.95,VS0000006690,Delta Dental Insurance Company,94120,INSV,Internal Service Fund,PER,Human Resources,BE15,"Fiscal Management And Administration:  Voluntary Benefits, L",QV,Contractual & Other Services,355C,Voluntary Pmts Employee Dental,,NONE,,
41587,2024-01-31,2024,4,EFT-BMS-EY240032911,437500.0,VC19221,Fair Park First,75210,OTGO,Other GO CIP - Non-Debt,PKR,Park & Recreation,PK16,Dallas Zoo and Aquarium,QV,Contractual & Other Services,3899,Other Misc.Exp. & Reimbursement,,NONE,,
41707,2024-01-31,2024,4,EFT-BMS-EY240033026,319062.82,083791,Jeske Construction Co,75229,BP17,2017 General Obligation Bond Program,PBW,Public Works & Transporation,TGTN,Target Neighborhood,RC,Capital Outlay,4510,Strts Roadwys Hiwy Alleys,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
41790,2024-01-31,2024,4,EFT-BMS-EY240033083,639321.09,517577,Housing Forward,75204,CVID,COVID-19,MGT,Management Services,EH54,Comprehensive Homeless Outreach,QV,Contractual & Other Services,3070,Professional Services,95255.0,HOMELESSNESS PREVENTION SERVICES,,
41842,2024-01-31,2024,4,EFT-BMS-EY240033132,314260.0,VC25185,"Cavender Ford Motor Company, Ltd",78219,FDGT,Federal Grant (non Consolidated Plan),MGT,Management Services,CM02,Intergovernmental Legislative Affairs And Fund Development,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
42077,2024-02-01,2024,5,EFT-BMS-EY240033248,4474501.35,004204,"Texas Materials Group, Inc.",75062,OTGO,Other GO CIP - Non-Debt,PBW,Public Works & Transporation,PB51,Street Maintenance Contracts,QV,Contractual & Other Services,3072,Contractor Service Fees,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
42274,2024-02-01,2024,5,EFT-BMS-EY240033383,359673.14,VS93045,"Johnson Bros. Corporation, A Southland Company",76262,GNFD,General Fund,PBW,Public Works & Transporation,PB51,Street Maintenance Contracts,QV,Contractual & Other Services,3072,Contractor Service Fees,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
42416,2024-02-02,2024,5,EFT-BMS-EY240033482,328009.0,506724,Holt Texas Ltd,75265,OTDB,Other GO CIP  - Debt,SDM,Stormwater Drainage Management,FLTR,Fleet Replacement,RC,Capital Outlay,4740,Motor Vehicles Cap,54500.0,"MACHINERY AND HARDWARE, INDUSTRIAL",,
42555,2024-02-05,2024,5,AD-BMS-AY240008472,1043319.18,345817,Texas Department Of Information Resources,78711,CVID,COVID-19,DSV,Communication & Info Svcs,IS01,9-1-1 Technology/Education Services,QV,Contractual & Other Services,3053,Data Circuit Billing,91576.0,"TELEPHONE SERVICES INCLUDES INSTALLATION, MOVES, CHANGES, AD",,
42576,2024-02-05,2024,5,EFT-BMS-EY240033572,706069.33,356959,Eagle Contracting Llc,76244,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
42590,2024-02-05,2024,5,EFT-BMS-EY240033582,978520.51,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
42651,2024-02-05,2024,5,EFT-BMS-EY240033630,372244.5,263880,Perot Museum Of Nature And Science,75315,GNFD,General Fund,OCA,Office Of Cultural Affairs,CA01,Cultural Programs Funding,QV,Contractual & Other Services,3089,Artistic Services,96207.0,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.)",,
42736,2024-02-05,2024,5,EFT-BMS-EY240033696,341220.0,VC26628,R.D. Offutt Company,58102,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW20,Water's Price of Doing Business,RC,Capital Outlay,4890,Miscellaneous Equipment Cap,76044.0,"LOADERS, FRONT END (FOR CRAWLER TRACTORS)",,
42906,2024-02-06,2024,5,EFT-BMS-EY240033818,313474.4,113696,Sam Pack'S Five Star Ford,75234,CVID,COVID-19,DPD,Dallas Police Dept,FLTR,Fleet Replacement,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
43232,2024-02-07,2024,5,EFT-BMS-EY240034018,1354793.0,033581,"Motorola Solutions, Inc.",60693,OTDB,Other GO CIP  - Debt,DSV,Communication & Info Svcs,TECH,Technology,RC,Capital Outlay,4510,Strts Roadwys Hiwy Alleys,72500.0,"RADIO COMMUNICATION, TELEPHONE, AND TELECOMMUNICATION EQUIPM",,
43276,2024-02-07,2024,5,EFT-BMS-EY240034049,411828.62,349633,Texas Commission On Environmental Quality,78711,EFOP,Enterprise Operating Fund,SAN,Sanitation Svcs,SS03,Landfill Management,QV,Contractual & Other Services,3460,Disposal Services,,NONE,,
43397,2024-02-07,2024,5,EFT-BMS-EY240034140,608387.55,VS0000053138,Sp Plus Corporation,60601,GNFD,General Fund,TRN,Transportation,PB04,Traffic Sign Fabrication,QV,Contractual & Other Services,3072,Contractor Service Fees,96259.0,"PARKING SERVICES: OPERATION, ADMISSION, SUPERVISION",,
43423,2024-02-07,2024,5,EFT-BMS-EY240034155,640163.0,VS0000067075,Bridge Steps,75201,GNFD,General Fund,MGT,Management Services,EH54,Comprehensive Homeless Outreach,QV,Contractual & Other Services,3070,Professional Services,95255.0,HOMELESSNESS PREVENTION SERVICES,,
43517,2024-02-08,2024,5,EFT-BMS-EY240034188,459579.26,345379,Omega Contracting Llc,75212,WTRC,Water Capital Program,DWU,Water Utilities,REEQ,Rehabilitation And Equipment,QV,Contractual & Other Services,3221,Water Relocation,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
43972,2024-02-09,2024,5,EFT-BMS-EY240034498,506201.01,VS0000078666,"Gadberry Construction Company, Inc.",75207,SWRC,Sewer Capital Program,DWU,Water Utilities,RELP,Relocations In Advance Of Paving,RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
44132,2024-02-09,2024,5,EFT-BMS-EY240034610,646560.29,VC26825,"Christensen Building Group, Llc",77090,EFOP,Enterprise Operating Fund,AVI,Aviation,AV21,MECHANICAL,QV,Contractual & Other Services,3110,Repair&Maint Serv Equip,95887.0,STORAGE TANK MANAGEMENT SERVICES,,
44364,2024-02-12,2024,5,EFT-BMS-EY240034755,728633.0,068563,Trinity River Authority Of Tx,76004,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW04,Wastewater Treatment,QV,Contractual & Other Services,3083,Ww Treatment- Tra,,NONE,,
44422,2024-02-12,2024,5,EFT-BMS-EY240034797,358841.67,516612,Deloitte Consulting Llp,22209,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3441,IT Managed Services,91800.0,CONSULTING SERVICES,,
44424,2024-02-12,2024,5,EFT-BMS-EY240034799,560530.0,518741,Houston Freightliner Inc.,77029,OTDB,Other GO CIP  - Debt,SAN,Sanitation Svcs,SS02,Residential Garbage Collection,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
44479,2024-02-12,2024,5,EFT-BMS-EY240034844,369885.0,VC26628,R.D. Offutt Company,58102,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW20,Water's Price of Doing Business,RC,Capital Outlay,4890,Miscellaneous Equipment Cap,76044.0,"LOADERS, FRONT END (FOR CRAWLER TRACTORS)",,
44586,2024-02-12,2024,5,EFT-BMS-EY240034906,924793.5,VS96112,"Flatiron Constructors, Inc.",75038,AVRC,Aviation Capital Program.commercial paper,AVI,Aviation,AAIP,Airport Improvements,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
44680,2024-02-13,2024,5,EFT-BMS-EY240034925,556472.7,507202,"Syb Construction Co., Inc. ^",75061,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
44959,2024-02-14,2024,5,AD-BMS-AY240008921,764603.48,268653,At&T Corp,60197,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS05,Internal Voice And Data Communication Network,QV,Contractual & Other Services,3053,Data Circuit Billing,91577.0,"TELEPHONE SERVICES, LONG DISTANCE AND LOCAL (INCLUDING TELEX",,
44962,2024-02-14,2024,5,AD-BMS-AY240008921,603536.91,268653,At&T Corp,60197,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS05,Internal Voice And Data Communication Network,QV,Contractual & Other Services,3441,IT Managed Services,91800.0,CONSULTING SERVICES,,
44999,2024-02-14,2024,5,EFT-BMS-EY240035123,2954600.0,VC22876,Kay Bailey Hutchison Convention Center,75202,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3072,Contractor Service Fees,,NONE,,
45143,2024-02-14,2024,5,EFT-BMS-EY240035247,1116326.18,519741,The Dallas Convention & Visitors Bureau,75201,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3320,Advertising,,NONE,,
45244,2024-02-14,2024,5,EFT-BMS-EY240035333,383051.87,VS0000038315,Azteca Enterprises Llc,75212,OTGO,Other GO CIP - Non-Debt,PKR,Park & Recreation,RFSI,Recreation Facilities Site Improvement,RC,Capital Outlay,4310,Buildings,90625.0,DESIGN BUILD SERVICES,,
